
20240206	01:27:11	44e623b6-7b8d-42ca-bbb0-994568441f00	GET	http://localhost:4200	/pedido/lista
20240206	01:28:06	73eeb748-90fe-493c-bcf9-31d9a2df0c3c	GET	http://localhost:4200	/pedido/lista
20240206	01:28:18	4b58bded-cf84-4a95-9a64-9ae93cc53631	GET	http://localhost:4200	/pedido/lista
20240206	01:28:28	af69e7f1-d38a-4036-bc74-02c643160a8a	GET	http://localhost:4200	/pedido/lista
20240206	01:29:07	c799d311-03ef-483f-9bd1-d851e0280aa4	GET	http://localhost:4200	/pedido/lista
20240206	01:29:35	b1057c31-7fe0-4541-859a-fe4837ff8c49	GET	http://localhost:4200	/pedido/lista
20240206	01:30:52	b632facc-128a-4e7d-873c-e445019e9070	GET	http://localhost:4200	/pedido/lista
20240206	01:31:15	b7ee8f3a-c71c-45b9-ae21-c698a31f4ef6	GET	http://localhost:4200	/pedido/lista
20240206	01:31:19	8b1d7a93-b031-4369-847f-90ce7a3e46d1	GET	http://localhost:4200	/pedido/lista
20240206	01:31:36	dfe11d7d-bf54-422f-9365-80e99cb684cb	GET	http://localhost:4200	/pedido/lista
20240206	01:36:14	d4c47f35-32c5-4c72-9a9c-51175baf2a10	GET	http://localhost:4200	/pedido/lista
20240206	01:36:29	9046c672-6501-490f-a4b3-d6b695e3665b	GET	http://localhost:4200	/pedido/lista
20240206	01:36:48	8612ea7e-8836-425b-a8f9-5dd333118968	GET	http://localhost:4200	/pedido/lista
20240206	01:36:56	676060af-1123-4dbf-9dda-a01160d4bcb6	GET	http://localhost:4200	/pedido/lista
20240206	01:39:03	978fc202-0c15-46f2-8160-0a43cc4ac33f	GET	http://localhost:4200	/pedido/lista
20240206	01:39:46	da3977c5-190d-4fc2-b44e-f505519f870a	GET	http://localhost:4200	/pedido/lista
20240206	01:39:56	b62b79b9-99af-49cc-9682-352f44c97d11	GET	http://localhost:4200	/pedido/lista
20240206	01:44:34	5767b043-294a-4857-bcf7-864bfbf9e29b	GET	http://localhost:4200	/pedido/lista
20240206	01:44:46	67f6ea6d-f98b-4ee7-a213-ad4c1bef3659	GET	http://localhost:4200	/pedido/lista
20240206	01:45:38	711bbfec-4209-4389-bedc-be63156b1173	GET	http://localhost:4200	/pedido/lista
20240206	01:47:59	82546328-6df0-45bb-b4f4-e83a275610d5	GET	http://localhost:4200	/pedido/lista
20240206	01:48:26	80b80a76-31c6-495f-b41c-532e4232242b	GET	http://localhost:4200	/pedido/lista
20240206	01:48:45	fc0d95ae-72db-45b9-a841-c24f14d6f520	GET	http://localhost:4200	/pedido/lista
20240206	01:48:45	1b0fab12-46dd-468a-bdc3-e5539c92dd52	GET	http://localhost:4200	/cliente
20240206	01:48:49	cbaa2bf0-deb7-4b30-9138-8bc79a23fcb8	GET	http://localhost:4200	/pedido/lista
20240206	01:49:18	29fe28b0-0c32-459d-bbc4-310502421b52	GET	http://localhost:4200	/pedido/lista
20240206	01:49:31	360ce9bc-457a-4efc-a4c9-b38aa56d4bf0	GET	http://localhost:4200	/pedido/lista
